date, pm25, pm10, o3, no2, so2, co
2019/1/19, 21, 7, 13, 5, , 
2019/1/20, 20, 6, 7, 4, , 
2019/1/21, 16, 9, 4, 6, , 
2019/1/22, 24, 4, 8, 4, , 
2019/1/23, 19, 6, 6, 5, , 
2019/1/24, 25, 5, 3, 4, , 
2019/1/25, 21, 8, 2, 5, , 
2019/1/26, 24, 6, 3, 3, , 
2019/1/27, 20, 6, 2, 3, , 
2019/1/28, 26, 12, 1, 8, , 
2019/1/29, 26, 11, 3, 8, , 
2019/1/30, 30, 12, 1, 9, , 
2019/1/31, 35, 9, 1, 6, , 
2019/2/1, 22, 5, 7, 4, , 
2019/2/2, 18, 7, 13, 4, , 
2019/2/3, 19, 7, 12, 3, , 
2019/2/4, 23, 18, 10, 8, , 
2019/2/5, 33, 20, 5, 10, , 
2019/2/6, 38, 14, 7, 8, , 
2019/2/7, 30, 31, 5, 10, , 
2019/2/8, 31, 7, 14, 6, , 
2019/2/9, 21, 6, 15, 3, , 
2019/2/10, 22, 11, 14, 4, , 
2019/2/11, 20, 7, 11, 9, , 
2019/2/12, 26, 5, 11, 7, , 
2019/2/13, 26, 10, 7, 10, , 
2019/2/14, 41, 8, 3, 13, , 
2019/2/15, 35, 4, 9, 7, , 
2019/2/16, 20, 6, 6, 6, , 
2019/2/17, 31, 8, 7, 5, , 
2019/2/18, 22, 13, 7, 5, , 
2019/2/19, 37, 6, 4, 7, , 
2019/2/20, 35, 7, 7, 5, , 
2019/2/21, 19, 12, 9, 7, , 
2019/2/22, 24, 5, 8, 6, , 
2019/2/23, 25, 4, 11, 3, , 
2019/2/24, 18, 5, 11, 4, , 
2019/2/25, 18, 5, 14, 5, , 
2019/2/26, 14, 5, 17, 4, , 
2019/2/27, 30, 15, 12, 12, , 
2019/2/28, 36, 8, 12, 5, , 
2019/3/1, 25, 10, 11, 6, , 
2019/3/2, 28, 9, 12, 6, , 
2019/3/3, 24, 5, 17, 2, , 
2019/3/4, 11, 8, 15, 5, , 
2019/3/5, 24, 10, 14, 9, , 
2019/3/6, 29, 12, 8, 13, , 
2019/3/7, 39, 6, 10, 7, , 
2019/3/8, 38, 5, 11, 5, , 
2019/3/9, 21, 8, 17, 3, , 
2019/3/10, 21, 11, 10, 5, , 
2019/3/11, 29, 6, 13, 6, , 
2019/3/12, 16, 6, 9, 6, , 
2019/3/13, 21, 8, 9, 5, , 
2019/3/14, 26, 6, 10, 4, , 
2019/3/15, 22, 4, 7, 6, , 
2019/3/16, 23, 14, 3, 12, , 
2019/3/17, 35, 14, 8, 4, , 
2019/3/18, 14, 13, 7, 12, , 
2019/3/19, 32, 13, 7, 13, , 
2019/3/20, 42, 12, 7, 12, , 
2019/3/21, 36, 14, 14, 7, , 
2019/3/22, 39, 10, 16, 5, , 
2019/3/23, 35, 8, 14, 4, , 
2019/3/24, 21, 9, 7, 7, , 
2019/3/25, 27, 11, 7, 8, , 
2019/3/26, 33, 5, 13, 5, , 
2019/3/27, 21, 9, 10, 8, , 
